City,State,Country,debutYear,freq,lat,long
Bakersfield, CA, USA,1995,1,35.3738712,-119.0194639
Bakersfield, CA, USA,1996,1,35.3738712,-119.0194639
Bakersfield, CA, USA,2001,1,35.3738712,-119.0194639
Bakersfield, CA, USA,2002,1,35.3738712,-119.0194639
Bakersfield, CA, USA,2007,2,35.3738712,-119.0194639
Bakersfield, CA, USA,2010,1,35.3738712,-119.0194639
Bakersfield, CA, USA,2014,1,35.3738712,-119.0194639
Bakersfield, CA, USA,2018,1,35.3738712,-119.0194639
Baldwin Park, CA, USA,1989,1,34.0854739,-117.9611761
Baldwin Park, CA, USA,2020,1,34.0854739,-117.9611761
Baltimore, MD, USA,1971,1,39.2908816,-76.610759
Baltimore, MD, USA,1972,1,39.2908816,-76.610759
Baltimore, MD, USA,1973,1,39.2908816,-76.610759
Baltimore, MD, USA,1974,2,39.2908816,-76.610759
Baltimore, MD, USA,1976,1,39.2908816,-76.610759
Baltimore, MD, USA,1981,1,39.2908816,-76.610759
Baltimore, MD, USA,1982,1,39.2908816,-76.610759
Baltimore, MD, USA,1983,1,39.2908816,-76.610759
Baltimore, MD, USA,1984,1,39.2908816,-76.610759
Baltimore, MD, USA,1985,2,39.2908816,-76.610759
Baltimore, MD, USA,1987,1,39.2908816,-76.610759
Baltimore, MD, USA,1989,1,39.2908816,-76.610759
Baltimore, MD, USA,1990,1,39.2908816,-76.610759
Baltimore, MD, USA,1991,1,39.2908816,-76.610759
Baltimore, MD, USA,1992,2,39.2908816,-76.610759
Baltimore, MD, USA,1993,1,39.2908816,-76.610759
Baltimore, MD, USA,1995,3,39.2908816,-76.610759
Baltimore, MD, USA,1996,1,39.2908816,-76.610759
Baltimore, MD, USA,1997,2,39.2908816,-76.610759
Baltimore, MD, USA,2003,1,39.2908816,-76.610759
Baltimore, MD, USA,2004,1,39.2908816,-76.610759
Baltimore, MD, USA,2007,1,39.2908816,-76.610759
Baltimore, MD, USA,2008,1,39.2908816,-76.610759
Baltimore, MD, USA,2010,1,39.2908816,-76.610759
Baltimore, MD, USA,2011,1,39.2908816,-76.610759
Baltimore, MD, USA,2012,1,39.2908816,-76.610759
